23.34,0,1
23.39,0,1
23.2,0,1
23.08,0,1
23.08,0,1
23.01,0,1
0,23.44,1
0,23.6,1
24.43,0,1
0,25.24,1
25,0,1
25,0,1
24.76,0,2
23.76,0,5
23.56,0,1
25.8,0,1
0,25.895,15
26.99,0,1
27.28,0,1
27.24,0,1
27.16,0,1
27.15,0,1
27.12,0,1
27.16,0,1
27.14,0,1
27.04,0,1
26.635,0,1
26.14,0,1
26.01,0,1
26.03,0,1
25.645,0,1
24.77,0,1
24.34,0,1
24.19,0,1
23.835,0,1
23.72,0,2
24.46,0,1
24.96,0,1
23.44,0,1
23.15,0,1
23.28,0,1
22.625,0,1
22.36,0,1
21.83,0,1
0,22.04,1
21.57,0,1
20.75,0,2
0,20.975,1
0,20.98,1
0,21.97,1
21.19,0,1
0,22.49,1
0,22.97,1
21.8,0,1
0,22.23,1
0,23.44,1
0,23.91,1
0,24.42,1
24.745,0,1
0,24.79,2
23.11,0,1
22.75,0,1
22.22,0,1
