,id,광역시도,시군구,총인구수,남자인구수,여자인구수,가구수
99,경기도과천시,경기도,과천시,78137,38416,39721,28726
100,경기도구리시,경기도,구리시,188701,93442,95259,80424
101,경기도남양주시,경기도,남양주시,737353,366261,371092,304288
102,경기도오산시,경기도,오산시,229849,119646,110203,103552
103,경기도시흥시,경기도,시흥시,512912,267861,245051,223534
104,경기도군포시,경기도,군포시,266213,132165,134048,113878
105,경기도의왕시,경기도,의왕시,160221,79417,80804,64839
106,경기도하남시,경기도,하남시,326059,162773,163286,140415
107,경기도용인시,경기도,용인시,1074971,533323,541648,432151
108,경기도처인구,경기도,처인구,259288,133113,126175,115654
109,경기도기흥구,경기도,기흥구,438235,216180,222055,174294
110,경기도수지구,경기도,수지구,377448,184030,193418,142203
111,경기도파주시,경기도,파주시,495315,251334,243981,218264
112,경기도이천시,경기도,이천시,222721,115925,106796,102618
113,경기도안성시,경기도,안성시,188842,97581,91261,89951
114,경기도김포시,경기도,김포시,484267,241904,242363,202189
115,경기도화성시,경기도,화성시,910814,473507,437307,387820
116,경기도광주시,경기도,광주시,391462,199707,191755,170497
117,경기도양주시,경기도,양주시,243432,123173,120259,106361
118,경기도포천시,경기도,포천시,146701,77707,68994,73438
119,경기도여주시,경기도,여주시,113150,57567,55583,53946
120,경기도연천군,경기도,연천군,42062,22113,19949,21858
121,경기도가평군,경기도,가평군,62150,32102,30048,32140
122,경기도양평군,경기도,양평군,122323,61495,60828,59788
123,강원특별자치도춘천시,강원특별자치도,춘천시,286664,141490,145174,133668
124,강원특별자치도원주시,강원특별자치도,원주시,360807,178880,181927,168755
125,강원특별자치도강릉시,강원특별자치도,강릉시,211381,104845,106536,103352
126,강원특별자치도동해시,강원특별자치도,동해시,89426,45423,44003,43251
127,강원특별자치도태백시,강원특별자치도,태백시,39428,19881,19547,20324
128,강원특별자치도속초시,강원특별자치도,속초시,82806,41037,41769,41193
129,강원특별자치도삼척시,강원특별자치도,삼척시,63455,32156,31299,33715
130,강원특별자치도홍천군,강원특별자치도,홍천군,67977,34954,33023,34510
131,강원특별자치도횡성군,강원특별자치도,횡성군,46532,23877,22655,23767
132,강원특별자치도영월군,강원특별자치도,영월군,37728,19509,18219,21288
133,강원특별자치도평창군,강원특별자치도,평창군,40990,21176,19814,21927
134,강원특별자치도정선군,강원특별자치도,정선군,34931,18264,16667,19533
